variavel,importancia
tracado_via_Ponte;Curva,0.00032782904992551334
tracado_via_Interseção de Vias;Curva;Declive,0.0003276312117215388
tracado_via_Rotatória;Interseção de Vias;Reta,0.0003107988608491234
tracado_via_Declive;Em Obras;Reta,0.000304726332025791
tracado_via_Interseção de Vias;Rotatória,0.00030176338752478156
tracado_via_Retorno Regulamentado;Interseção de Vias,0.0002916932353156296
tracado_via_Reta;Ponte;Em Obras,0.0002889999439267082
tracado_via_Aclive;Em Obras,0.00028313257338090646
tracado_via_Reta;Interseção de Vias;Declive,0.000279894472507591
tracado_via_Rotatória;Curva,0.00027664434372090996
tracado_via_Declive;Reta;Interseção de Vias,0.0002735906044370918
tracado_via_Interseção de Vias;Rotatória;Reta,0.0002686098464163556
tracado_via_Curva;Interseção de Vias;Declive,0.0002636596898536349
tracado_via_Curva;Rotatória,0.0002603572620183481
tracado_via_Em Obras;Curva,0.00025943675944575063
tracado_via_Interseção de Vias;Retorno Regulamentado;Reta,0.0002483129625195554
tracado_via_Desvio Temporário;Em Obras,0.00024636531052709575
tracado_via_Reta;Em Obras;Desvio Temporário,0.0002379591638425135
tracado_via_Declive;Interseção de Vias,0.0002081391038126555
tracado_via_Curva;Declive;Viaduto,0.00020222299769484046
tracado_via_Declive;Curva;Interseção de Vias,0.00019539030818902238
tracado_via_Curva;Ponte,0.000195192571919239
tracado_via_Declive;Em Obras,0.0001919791715477798
tracado_via_Declive;Reta;Ponte,0.00018511007243934296
tracado_via_Retorno Regulamentado;Reta;Interseção de Vias,0.00018292538135689603
tracado_via_Reta;Retorno Regulamentado;Interseção de Vias,0.00018035163615549816
tracado_via_Viaduto;Aclive;Reta,0.0001784274072197052
tracado_via_Viaduto;Curva,0.00017649874108813916
tracado_via_Interseção de Vias;Viaduto,0.0001753857551868148
tracado_via_Declive;Reta;Em Obras,0.00017350197427493924
tracado_via_Declive;Em Obras;Reta;Desvio Temporário,0.00017068304910526185
tracado_via_Em Obras;Ponte,0.0001683496884768689
tracado_via_Reta;Viaduto;Aclive,0.0001663791263516411
tracado_via_Reta;Aclive;Viaduto,0.00015918733735583042
tracado_via_Aclive;Em Obras;Reta,0.00015668218561806733
tracado_via_Declive;Retorno Regulamentado;Reta,0.00015132208347835217
tracado_via_Declive;Interseção de Vias;Em Obras,0.00014342059521062661
tracado_via_Ponte;Curva;Declive,0.00014304169275475488
tracado_via_Declive;Curva;Ponte,0.00014255000508461163
tracado_via_Desvio Temporário;Curva;Em Obras,0.00013747853954000955
tracado_via_Aclive;Curva;Interseção de Vias,0.0001338401758166737
tracado_via_Curva;Declive;Interseção de Vias,0.00013152239900254646
tracado_via_Retorno Regulamentado;Curva,0.0001259370409343188
tracado_via_Retorno Regulamentado;Interseção de Vias;Aclive;Reta;Em Obras,0.00012587604819164105
tracado_via_Rotatória;Interseção de Vias,0.00012286057273540828
tracado_via_Interseção de Vias;Reta;Rotatória,0.00012006025682234704
tracado_via_Aclive;Ponte;Reta,0.00011902475650132159
tracado_via_Em Obras;Declive,0.00011701791342260403
tracado_via_Em Obras;Viaduto,0.00011453323036584415
tracado_via_Em Obras;Interseção de Vias;Reta,0.00011418487967232465
tracado_via_Reta;Em Obras;Viaduto,0.00011368381613581837
tracado_via_Reta;Aclive;Desvio Temporário,0.0001125716777517596
tracado_via_Curva;Aclive;Em Obras,0.00010736422954906577
tracado_via_Curva;Interseção de Vias;Rotatória,0.00010651085137532634
tracado_via_Reta;Declive;Viaduto,0.00010458813934744463
tracado_via_Curva;Ponte;Declive,0.00010091284205489808
tracado_via_Em Obras;Curva;Desvio Temporário,9.907976959518317e-05
tracado_via_Viaduto;Reta;Em Obras,9.772016413643142e-05
tracado_via_Viaduto;Declive,9.503623518591483e-05
tracado_via_Reta;Aclive;Interseção de Vias,9.322154341594884e-05
tracado_via_Ponte;Declive,9.020199053864941e-05
tracado_via_Declive;Viaduto;Curva,8.98467951629792e-05
tracado_via_Reta;Declive;Rotatória,8.947287520766205e-05
tracado_via_Declive;Curva;Viaduto,8.904257102476635e-05
tracado_via_Em Obras;Declive;Curva,8.763980591015052e-05
